ubigeo,district,provincia,region,id,area,pobreza_pct,pobreza_quintil,educ_baja_pct,nivel_educativo,pct_mujeres_18_35,poblacion_mujeres,tolerancia_social,riesgo,n_cem,n_refugios,n_otros_servicios,linea100_cobertura,acceso_telefonia_pct,n_servicios_total,acceso,prioridad,riesgo_cat,acceso_cat,semaforo,recomendacion
130207,Santiago De Cao,Ascope,La Libertad,,Rural,66.5,Q4,58.4,Bajo,37.1,4103.0,0.389,0.746,0.0,0.0,0.0,False,48.2,,0.11,0.664,Alto,,Crítico,Alto riesgo sin CEM → Priorizar implementación de CEM
130204,Magdalena De Cao,Ascope,La Libertad,,Urbana,23.8,Q2,13.0,Alto,38.2,25179.0,0.595,0.259,0.0,0.0,0.0,False,81.8,,0.206,0.206,Bajo,,Adecuado,Mantener monitoreo y reforzar capacidades locales
130701,San Pedro De Lloc,Pacasmayo,La Libertad,,Urbana,14.4,Q1,37.4,Medio,35.0,35198.0,0.246,0.22,0.0,0.0,3.0,False,86.3,,0.502,0.11,Bajo,,Adecuado,Mantener monitoreo y reforzar capacidades locales
230302,Ilabaya,Jorge Basadre,Tacna,,Urbana,12.1,Q1,23.1,Alto,37.1,66136.0,0.328,0.181,0.0,1.0,1.0,True,74.5,,0.549,0.082,Bajo,,Adecuado,Mantener monitoreo y reforzar capacidades locales
021803,Coishco,Santa,Ancash,,Urbana,20.2,Q2,30.3,Medio,36.1,8842.0,0.326,0.359,0.0,0.0,1.0,False,81.5,,0.282,0.258,Medio,,Adecuado,Mantener monitoreo y reforzar capacidades locales
130203,Chocope,Ascope,La Libertad,,Urbana,18.8,Q1,17.1,Alto,42.0,32270.0,0.469,0.278,0.0,2.0,0.0,False,79.2,,0.427,0.159,Bajo,,Adecuado,Mantener monitoreo y reforzar capacidades locales
020301,Llamellin,Antonio Raymondi,Ancash,,Rural,57.9,Q3,68.5,Bajo,35.7,3768.0,0.638,0.715,2.0,1.0,0.0,True,20.7,,0.452,0.392,Alto,,Medio,Alta tolerancia social → Priorizar campañas de sensibilización
021809,Nuevo Chimbote,Santa,Ancash,,Rural,59.0,Q3,42.6,Medio,43.2,371.0,0.421,0.609,3.0,0.0,0.0,True,67.9,,0.537,0.282,Alto,,Adecuado,Mantener monitoreo y reforzar capacidades locales
022001,Yungay,Yungay,Ancash,,Urbana,10.9,Q1,28.2,Medio,29.2,16263.0,0.24,0.253,1.0,1.0,0.0,True,66.9,,0.487,0.13,Bajo,,Adecuado,Mantener monitoreo y reforzar capacidades locales
100403,Cochabamba,Huacaybamba,Huanuco,,Rural,63.8,Q4,36.1,Medio,39.3,2608.0,0.595,0.622,0.0,1.0,1.0,False,42.9,,0.271,0.453,Alto,,Medio,Alto riesgo sin CEM → Priorizar implementación de CEM
130602,Agallpampa,Otuzco,La Libertad,,Urbana,19.3,Q1,14.3,Alto,34.4,67027.0,0.578,0.255,0.0,2.0,2.0,True,78.8,,0.676,0.083,Bajo,,Adecuado,Mantener monitoreo y reforzar capacidades locales
130205,Paijan,Ascope,La Libertad,,Urbana,20.3,Q2,18.4,Alto,26.7,63278.0,0.472,0.341,1.0,0.0,2.0,True,84.5,,0.647,0.12,Medio,,Adecuado,Mantener monitoreo y reforzar capacidades locales
130613,Sinsicap,Otuzco,La Libertad,,Urbana,15.2,Q1,24.3,Alto,33.1,51828.0,0.491,0.198,0.0,1.0,1.0,True,83.2,,0.484,0.102,Bajo,,Adecuado,Mantener monitoreo y reforzar capacidades locales
130202,Chicama,Ascope,La Libertad,,Urbana,28.6,Q2,14.4,Alto,43.5,83925.0,0.428,0.3,0.0,0.0,3.0,True,84.1,,0.635,0.11,Bajo,,Adecuado,Mantener monitoreo y reforzar capacidades locales
060503,Cupisnique,Contumaza,Cajamarca,,Rural,77.0,Q4,73.8,Bajo,27.6,5145.0,0.441,0.751,0.0,0.0,1.0,False,27.0,,0.155,0.635,Crítico,,Crítico,Alto riesgo sin CEM → Priorizar implementación de CEM
080806,Pichigua,Espinar,Cusco,,Rural,41.5,Q3,44.9,Medio,41.3,5815.0,0.45,0.613,0.0,0.0,0.0,False,45.9,,0.081,0.563,Alto,,Crítico,Alto riesgo sin CEM → Priorizar implementación de CEM
101104,Aparicio Pomares,Yarowilca,Huanuco,,Urbana,28.1,Q2,26.8,Medio,33.6,75452.0,0.636,0.3,0.0,1.0,3.0,False,81.8,,0.552,0.134,Bajo,,Adecuado,Alta tolerancia social → Priorizar campañas de sensibilización
230110,Coronel Gregorio Albarracin Lanchipa,Tacna,Tacna,,Urbana,12.3,Q1,17.9,Alto,45.2,38320.0,0.569,0.228,0.0,0.0,1.0,False,72.6,,0.313,0.157,Bajo,,Adecuado,Mantener monitoreo y reforzar capacidades locales
230101,Tacna,Tacna,Tacna,,Rural,71.5,Q4,51.2,Bajo,29.9,2059.0,0.336,0.664,2.0,0.0,4.0,True,56.9,,0.825,0.116,Alto,,Adecuado,Mantener monitoreo y reforzar capacidades locales
230109,Sama,Tacna,Tacna,,Urbana,14.3,Q1,31.0,Medio,34.4,30590.0,0.324,0.215,1.0,0.0,1.0,False,81.4,,0.358,0.138,Bajo,,Adecuado,Mantener monitoreo y reforzar capacidades locales
230104,Ciudad Nueva,Tacna,Tacna,,Urbana,18.1,Q1,22.4,Alto,47.1,82892.0,0.437,0.153,0.0,0.0,2.0,True,81.9,,0.552,0.069,Bajo,,Adecuado,Mantener monitoreo y reforzar capacidades locales
230303,Ite,Jorge Basadre,Tacna,,Rural,28.9,Q2,56.0,Bajo,30.1,2874.0,0.432,0.51,0.0,0.0,0.0,False,24.9,,0.023,0.498,Medio,,Medio,Riesgo medio sin CEM → Considerar punto de atención
180301,Ilo,Ilo,Moquegua,,Urbana,13.2,Q1,39.1,Medio,49.3,60172.0,0.516,0.298,0.0,0.0,3.0,True,74.1,,0.606,0.117,Bajo,,Adecuado,Mantener monitoreo y reforzar capacidades locales
230102,Alto De La Alianza,Tacna,Tacna,,Urbana,26.1,Q2,25.5,Medio,32.4,47211.0,0.181,0.18,0.0,0.0,0.0,True,79.6,,0.399,0.108,Bajo,,Adecuado,Mantener monitoreo y reforzar capacidades locales
230106,Pachia,Tacna,Tacna,,Urbana,14.3,Q1,12.3,Alto,22.2,35009.0,0.581,0.213,1.0,0.0,0.0,True,80.8,,0.4,0.128,Bajo,,Adecuado,Mantener monitoreo y reforzar capacidades locales
230404,Estique-Pampa,Tarata,Tacna,,Rural,69.8,Q4,46.4,Medio,47.1,3838.0,0.529,0.661,0.0,0.0,0.0,False,30.4,,0.106,0.591,Alto,,Crítico,Alto riesgo sin CEM → Priorizar implementación de CEM
230403,Estique,Tarata,Tacna,,Urbana,15.4,Q1,13.6,Alto,35.3,29965.0,0.67,0.249,0.0,0.0,1.0,True,86.5,,0.42,0.144,Bajo,,Adecuado,Alta tolerancia social → Priorizar campañas de sensibilización
230407,Tarucachi,Tarata,Tacna,,Urbana,25.6,Q2,21.8,Alto,45.6,88873.0,0.429,0.395,0.0,1.0,0.0,True,82.9,,0.442,0.22,Medio,,Adecuado,Mantener monitoreo y reforzar capacidades locales
230105,Inclan,Tacna,Tacna,,Rural,42.3,Q3,59.9,Bajo,46.0,3960.0,0.536,0.71,0.0,0.0,4.0,True,47.0,,0.564,0.31,Alto,,Medio,Alto riesgo sin CEM → Priorizar implementación de CEM
230301,Locumba,Jorge Basadre,Tacna,,Urbana,16.8,Q1,22.5,Alto,39.2,59151.0,0.17,0.24,2.0,0.0,3.0,True,77.1,,0.806,0.047,Bajo,,Adecuado,Mantener monitoreo y reforzar capacidades locales
180302,El Algarrobal,Ilo,Moquegua,,Rural,33.5,Q2,62.8,Bajo,50.5,3370.0,0.488,0.722,1.0,0.0,3.0,False,25.6,,0.373,0.453,Alto,,Medio,Alto riesgo con acceso bajo → Fortalecer servicios existentes
230107,Palca,Tacna,Tacna,,Urbana,34.0,Q2,11.5,Alto,48.2,81732.0,0.477,0.295,2.0,0.0,3.0,True,74.8,,0.758,0.071,Bajo,,Adecuado,Mantener monitoreo y reforzar capacidades locales
230402,Heroes Albarracin,Tarata,Tacna,,Rural,42.4,Q3,33.1,Medio,40.2,3389.0,0.612,0.579,1.0,0.0,3.0,True,28.1,,0.601,0.231,Alto,,Adecuado,Alta tolerancia social → Priorizar campañas de sensibilización
230206,Quilahuani,Candarave,Tacna,,Urbana,19.5,Q1,15.0,Alto,32.7,75025.0,0.337,0.159,1.0,0.0,3.0,True,77.5,,0.703,0.047,Bajo,,Adecuado,Mantener monitoreo y reforzar capacidades locales
180303,Pacocha,Ilo,Moquegua,,Urbana,18.8,Q1,17.3,Alto,37.7,58701.0,0.822,0.362,0.0,0.0,3.0,True,84.8,,0.647,0.128,Medio,,Adecuado,Alta tolerancia social → Priorizar campañas de sensibilización
230401,Tarata,Tarata,Tacna,,Urbana,28.2,Q2,11.4,Alto,43.5,12720.0,0.583,0.385,1.0,0.0,3.0,True,71.8,,0.703,0.114,Medio,,Adecuado,Mantener monitoreo y reforzar capacidades locales
040603,Cayarani,Condesuyos,Arequipa,,Urbana,21.4,Q2,13.7,Alto,30.7,8812.0,0.491,0.279,2.0,1.0,0.0,True,81.1,,0.622,0.105,Bajo,,Adecuado,Mantener monitoreo y reforzar capacidades locales
230108,Pocollay,Tacna,Tacna,,Rural,48.6,Q3,46.9,Medio,37.8,5820.0,0.418,0.673,0.0,0.0,0.0,False,60.1,,0.208,0.533,Alto,,Crítico,Alto riesgo sin CEM → Priorizar implementación de CEM
230103,Calana,Tacna,Tacna,,Rural,59.4,Q3,47.6,Medio,49.4,5358.0,0.519,0.537,0.0,1.0,2.0,False,46.2,,0.389,0.328,Medio,,Medio,Riesgo medio sin CEM → Considerar punto de atención
040110,Miraflores,Arequipa,Arequipa,,Urbana,22.7,Q2,16.7,Alto,27.7,82963.0,0.339,0.333,0.0,0.0,0.0,True,84.9,,0.358,0.214,Medio,,Adecuado,Mantener monitoreo y reforzar capacidades locales
040706,Punta De Bombon,Islay,Arequipa,,Urbana,16.9,Q1,31.9,Medio,36.1,43513.0,0.681,0.3,1.0,0.0,0.0,False,81.8,,0.281,0.216,Bajo,,Adecuado,Alta tolerancia social → Priorizar campañas de sensibilización
230202,Cairani,Candarave,Tacna,,Rural,34.3,Q2,63.7,Bajo,40.1,5034.0,0.311,0.707,1.0,0.0,2.0,True,38.1,,0.493,0.358,Alto,,Medio,Mantener monitoreo y reforzar capacidades locales
230406,Susapaya,Tarata,Tacna,,Rural,41.8,Q3,68.8,Bajo,37.5,742.0,0.202,0.689,2.0,1.0,2.0,True,24.6,,0.638,0.249,Alto,,Adecuado,Mantener monitoreo y reforzar capacidades locales
210404,Kelluyo,Chucuito,Puno,,Urbana,27.1,Q2,26.1,Medio,24.6,14717.0,0.428,0.299,0.0,0.0,2.0,True,76.6,,0.541,0.137,Bajo,,Adecuado,Mantener monitoreo y reforzar capacidades locales
180105,San Cristobal,Mariscal Nieto,Moquegua,,Urbana,17.7,Q1,21.9,Alto,44.5,61617.0,0.713,0.287,2.0,0.0,4.0,True,79.1,,0.822,0.051,Bajo,,Adecuado,Alta tolerancia social → Priorizar campañas de sensibilización
230204,Curibaya,Candarave,Tacna,,Urbana,9.3,Q1,11.3,Alto,43.9,74631.0,0.766,0.267,0.0,0.0,2.0,False,81.9,,0.319,0.182,Bajo,,Adecuado,Alta tolerancia social → Priorizar campañas de sensibilización
230203,Camilaca,Candarave,Tacna,,Rural,26.5,Q2,61.3,Bajo,48.2,767.0,0.632,0.528,0.0,0.0,1.0,True,23.8,,0.241,0.401,Medio,,Medio,Riesgo medio sin CEM → Considerar punto de atención
040705,Mejia,Islay,Arequipa,,Urbana,20.3,Q2,17.6,Alto,51.2,44490.0,0.211,0.285,0.0,0.0,0.0,True,84.1,,0.332,0.19,Bajo,,Adecuado,Mantener monitoreo y reforzar capacidades locales
210502,Capazo,El Collao,Puno,,Urbana,17.2,Q1,20.8,Alto,49.0,61852.0,0.79,0.192,0.0,0.0,1.0,True,81.2,,0.44,0.108,Bajo,,Adecuado,Alta tolerancia social → Priorizar campañas de sensibilización
230201,Candarave,Candarave,Tacna,,Urbana,25.5,Q2,17.9,Alto,53.1,80528.0,0.481,0.285,0.0,1.0,0.0,False,71.1,,0.305,0.198,Bajo,,Adecuado,Mantener monitoreo y reforzar capacidades locales
040704,Islay,Islay,Arequipa,,Rural,59.1,Q3,48.2,Medio,40.1,2140.0,0.326,0.704,0.0,0.0,0.0,True,49.4,,0.274,0.511,Alto,,Crítico,Alto riesgo sin CEM → Priorizar implementación de CEM
